row_id,label,n_chars,n_words,n_subwords
ntf-00076,real,1021,220,297
ntf-00077,real,870,182,258
ntf-00078,real,580,129,178
ntf-00079,real,1360,290,347
ntf-00080,real,1245,256,351
ntf-00081,real,1113,249,304
ntf-00082,real,875,182,252
ntf-00083,real,1233,258,362
ntf-00084,real,1605,342,429
ntf-00085,real,768,153,205
ntf-00086,real,605,125,172
ntf-00087,real,406,82,109
ntf-00088,real,501,106,127
ntf-00089,real,1721,356,448
ntf-00090,real,927,203,244
ntf-00091,real,800,169,234
ntf-00092,real,556,119,150
ntf-00093,real,953,206,255
ntf-00094,real,690,135,189
ntf-00095,real,1395,294,370
ntf-00096,real,625,132,167
ntf-00097,real,999,214,274
ntf-00098,real,597,123,160
ntf-00099,real,864,189,246
ntf-00100,real,532,116,139
ntf-00101,real,725,146,205
ntf-00102,real,1126,221,293
ntf-00103,real,1049,234,280
ntf-00104,real,953,214,264
ntf-00105,real,1033,215,270
ntf-00106,real,1043,212,253
ntf-00107,real,1010,222,273
ntf-00108,real,911,197,260
ntf-00109,real,231,43,79
ntf-00110,real,928,201,275
ntf-00111,real,1207,252,341
ntf-00112,real,1081,225,291
ntf-00113,real,791,164,205
ntf-00114,real,1172,255,325
ntf-00115,real,382,81,103
ntf-00116,real,480,101,133
ntf-00117,real,1210,239,302
ntf-00118,real,947,212,263
ntf-00119,real,1018,207,289
ntf-00120,real,725,139,212
ntf-00121,real,1046,224,255
ntf-00122,real,1321,271,342
ntf-00123,real,1112,235,294
ntf-00124,real,1773,345,474
ntf-00125,real,896,178,250
ntf-00126,real,234,54,65
ntf-00127,real,1000,214,249
ntf-00128,real,1038,213,283
ntf-00129,real,503,113,132
ntf-00130,real,447,87,120
ntf-00131,real,408,90,119
ntf-00132,real,881,191,227
ntf-00133,real,845,186,233
ntf-00134,real,1154,245,313
ntf-00135,real,855,177,240
ntf-00136,real,1234,259,328
ntf-00137,real,1045,232,317
ntf-00138,real,1259,258,347
ntf-00139,real,724,152,196
ntf-00140,real,658,133,176
ntf-00141,real,829,180,217
ntf-00142,real,532,115,145
ntf-00143,real,794,166,226
ntf-00144,real,368,77,104
ntf-00145,real,402,90,111
ntf-00146,real,871,183,231
ntf-00147,real,781,165,203
ntf-00148,real,612,131,161
ntf-00149,real,344,73,94
ntf-00150,real,671,116,213
ntf-00151,real,303,60,76
ntf-00152,real,975,222,271
ntf-00153,real,607,128,172
ntf-00154,real,1034,206,288
ntf-00155,real,274,54,74
ntf-00156,real,897,176,239
ntf-00157,real,536,113,151
ntf-00158,real,681,131,208
ntf-00159,real,1085,229,296
ntf-00160,real,1658,338,411
ntf-00161,real,867,180,254
ntf-00162,real,626,132,169
ntf-00163,real,351,72,102
ntf-00164,real,1510,286,432
ntf-00165,real,499,110,131
ntf-00166,real,998,204,290
ntf-00167,real,900,178,238
ntf-00168,real,1604,322,418
ntf-00169,real,712,161,197
ntf-00170,real,456,91,124
ntf-00171,real,658,146,173
ntf-00172,real,1203,239,333
ntf-00173,real,344,77,95
ntf-00174,real,1014,225,280
ntf-00175,real,855,171,218
ntf-00176,real,448,92,126
ntf-00177,real,641,130,189
ntf-00178,real,923,194,257
ntf-00179,real,382,79,107
ntf-00180,real,846,169,232
ntf-00181,real,487,98,132
ntf-00182,real,633,139,173
ntf-00183,real,634,133,166
ntf-00184,real,633,136,182
ntf-00185,real,778,165,206
ntf-00186,real,894,190,256
ntf-00187,real,1097,243,310
ntf-00188,real,761,159,216
ntf-00189,real,859,188,226
ntf-00190,real,990,221,261
ntf-00191,real,686,147,190
ntf-00192,real,1220,259,337
ntf-00193,real,2083,439,570
ntf-00194,real,1090,230,307
ntf-00195,real,1068,234,289
ntf-00196,real,527,106,145
ntf-00197,real,793,161,212
ntf-00198,real,723,165,206
ntf-00199,real,912,193,250
ntf-00200,real,841,161,214
ntf-00201,real,672,148,194
ntf-00202,real,1081,209,336
ntf-00203,real,295,59,82
ntf-00204,real,785,158,199
ntf-00205,real,722,148,193
ntf-00206,real,896,192,245
ntf-00207,real,706,150,197
ntf-00208,real,1056,245,335
ntf-00209,real,641,136,166
ntf-00210,real,748,162,205
ntf-00211,real,589,124,155
ntf-00212,real,1164,255,304
ntf-00213,real,799,166,220
ntf-00214,real,437,98,141
ntf-00215,real,1403,298,367
ntf-00216,real,661,142,185
ntf-00217,real,1091,225,282
ntf-00218,real,1054,217,290
ntf-00219,real,615,132,178
ntf-00220,real,606,135,169
ntf-00221,real,900,186,240
ntf-00222,real,639,135,181
ntf-00223,real,1067,223,290
ntf-00224,real,898,184,246
ntf-00225,real,822,178,223
ntf-00226,real,236,53,66
ntf-00227,real,409,90,119
ntf-00228,real,381,84,109
ntf-00229,real,792,160,206
ntf-00230,real,2538,543,632
ntf-00231,real,1139,239,330
ntf-00232,real,624,135,165
ntf-00233,real,612,129,165
ntf-00234,real,870,190,225
ntf-00235,real,1143,235,291
ntf-00236,real,601,123,166
ntf-00237,real,584,121,162
ntf-00238,real,821,163,220
ntf-00239,real,1131,239,306
ntf-00240,real,479,105,130
ntf-00241,real,1152,234,316
ntf-00242,real,687,139,174
ntf-00243,real,752,154,182
ntf-00244,real,847,188,240
ntf-00245,real,879,182,240
ntf-00246,real,1045,235,307
ntf-00247,real,565,121,153
ntf-00248,real,680,149,178
ntf-00249,real,900,183,256
ntf-00250,real,734,160,216
ntf-00251,real,554,118,152
ntf-00252,real,355,70,94
ntf-00253,real,736,159,201
ntf-00254,real,519,117,149
ntf-00255,real,1104,239,295
ntf-00256,real,657,125,216
ntf-00257,real,811,173,219
ntf-00258,real,778,156,220
ntf-00259,real,1122,230,289
ntf-00260,real,680,143,183
ntf-00261,real,1362,276,359
ntf-00262,real,1291,270,345
ntf-00263,real,650,130,160
ntf-00264,real,946,202,260
ntf-00265,real,1054,226,272
ntf-00266,real,441,92,112
ntf-00267,real,768,157,216
ntf-00268,real,1122,244,295
ntf-00269,real,1225,253,318
ntf-00270,real,1146,226,291
ntf-00271,real,526,115,147
ntf-00272,real,906,191,247
ntf-00273,real,612,135,167
ntf-00274,real,739,160,193
ntf-00275,real,3053,628,853
ntf-00276,real,361,79,105
ntf-00277,real,752,159,219
ntf-00278,real,371,75,114
ntf-00279,real,884,175,249
ntf-00280,real,893,193,244
ntf-00281,real,1162,255,309
ntf-00282,real,753,171,215
ntf-00283,real,1766,385,484
ntf-00284,real,1038,215,300
ntf-00285,real,892,204,261
ntf-00286,real,906,191,247
ntf-00287,real,1060,218,284
ntf-00288,real,1177,239,300
ntf-00289,real,994,207,248
ntf-00290,real,984,193,261
ntf-00291,real,893,189,237
ntf-00292,real,1222,258,335
ntf-00293,real,754,163,205
ntf-00294,real,819,158,198
ntf-00295,real,1223,243,322
ntf-00296,real,905,200,239
ntf-00297,real,848,174,216
ntf-00298,real,2391,478,646
ntf-00299,real,484,109,130
ntf-00300,real,1142,249,325
ntf-00301,real,811,169,211
ntf-00302,real,1944,414,533
ntf-00303,real,928,195,246
ntf-00304,real,1141,241,301
ntf-00305,real,1185,247,333
ntf-00306,real,495,110,139
ntf-00307,real,1315,290,351
ntf-00308,real,389,93,116
ntf-00309,real,1042,232,273
ntf-00310,real,1086,206,284
ntf-00311,real,757,135,229
ntf-00312,real,580,121,163
ntf-00313,real,1525,300,397
ntf-00314,real,571,121,167
ntf-00315,real,860,185,240
ntf-00316,real,1444,299,366
ntf-00317,real,925,192,227
ntf-00318,real,550,122,154
ntf-00319,real,736,164,208
ntf-00320,real,942,195,267
ntf-00321,real,982,204,249
ntf-00322,real,2092,405,571
ntf-00323,real,842,186,234
ntf-00324,real,917,195,254
ntf-00325,real,348,84,94
ntf-00326,real,663,144,180
ntf-00327,real,748,134,193
ntf-00328,real,520,114,143
ntf-00329,real,509,113,145
ntf-00330,real,797,181,223
ntf-00331,real,796,172,215
ntf-00332,real,786,150,208
ntf-00333,real,851,180,239
ntf-00334,real,885,188,234
ntf-00335,real,657,147,186
ntf-00336,real,1155,232,341
ntf-00337,real,1092,206,322
ntf-00338,real,608,130,177
ntf-00339,real,1404,301,374
ntf-00340,real,508,109,137
ntf-00341,real,289,65,82
ntf-00342,real,1018,187,310
ntf-00343,real,657,149,185
ntf-00344,real,566,125,152
ntf-00345,real,694,127,194
ntf-00346,real,647,149,178
ntf-00347,real,905,199,250
ntf-00348,real,339,67,104
ntf-00349,real,666,144,179
ntf-00350,real,951,210,256
ntf-00351,real,807,177,226
ntf-00352,real,865,184,224
ntf-00353,real,890,186,216
ntf-00354,real,697,149,175
ntf-00355,real,953,201,240
ntf-00356,real,822,167,210
ntf-00357,real,707,148,187
ntf-00358,real,486,96,138
ntf-00359,real,422,94,122
ntf-00360,real,4343,942,1174
ntf-00361,real,1233,273,364
ntf-00362,real,448,94,128
ntf-00363,real,1041,217,303
ntf-00364,real,1200,265,314
ntf-00365,real,1592,328,442
ntf-00366,real,1171,262,311
ntf-00367,real,759,170,215
ntf-00368,real,1066,223,290
ntf-00369,real,338,68,89
ntf-00370,real,1111,255,306
ntf-00371,real,537,106,132
ntf-00372,real,688,149,177
ntf-00373,real,904,204,244
ntf-00374,real,766,159,212
ntf-00375,real,714,152,207
ntf-00376,real,393,84,114
ntf-00377,real,3425,725,904
ntf-00378,real,832,179,215
ntf-00379,real,899,183,226
ntf-00380,real,735,157,206
ntf-00381,real,940,187,251
ntf-00382,real,914,203,254
ntf-00383,real,1425,302,388
ntf-00384,real,797,166,220
ntf-00385,real,555,124,157
ntf-00386,real,682,143,188
ntf-00387,real,728,149,218
ntf-00388,real,456,92,135
ntf-00389,real,1085,216,299
ntf-00390,real,695,149,188
ntf-00391,real,1769,331,514
ntf-00392,real,1192,246,344
ntf-00393,real,1951,413,526
ntf-00394,real,1119,239,314
ntf-00395,real,887,197,232
ntf-00396,real,828,177,220
ntf-00397,real,967,200,261
ntf-00398,real,812,174,228
ntf-00399,real,545,116,158
ntf-00400,real,1449,310,393
ntf-00401,real,1053,212,301
ntf-00402,real,1309,275,337
ntf-00403,real,833,171,240
ntf-00404,real,817,149,239
ntf-00405,real,641,136,158
ntf-00406,real,1296,274,356
ntf-00407,real,983,208,249
ntf-00408,real,1057,220,284
ntf-00409,real,309,65,85
ntf-00410,real,947,206,250
ntf-00411,real,823,185,216
ntf-00412,real,978,198,280
ntf-00413,real,768,158,213
ntf-00414,real,1080,238,308
ntf-00415,real,990,217,246
ntf-00416,real,791,170,196
ntf-00417,real,688,147,173
ntf-00418,real,587,132,162
ntf-00419,real,1413,307,372
ntf-00420,real,1143,239,301
ntf-00421,real,1443,306,352
ntf-00422,real,957,187,259
ntf-00423,real,583,125,151
ntf-00424,real,764,167,213
ntf-00425,real,712,147,181
ntf-00426,real,872,201,239
ntf-00427,real,440,94,126
ntf-00428,real,947,204,242
ntf-00429,real,667,144,172
ntf-00430,real,687,145,185
ntf-00431,real,802,166,216
ntf-00432,real,411,74,139
ntf-00433,real,800,171,211
ntf-00434,real,1364,286,346
ntf-00435,real,1073,227,268
ntf-00436,real,722,155,195
ntf-00437,real,684,148,182
ntf-00438,real,1006,213,271
ntf-00439,real,844,165,234
ntf-00440,real,907,199,239
ntf-00441,real,704,157,199
ntf-00442,real,709,157,187
ntf-00443,real,797,162,214
ntf-00444,real,487,111,139
ntf-00445,real,936,203,248
ntf-00446,real,774,148,206
ntf-00447,real,2176,447,536
ntf-00448,real,315,65,83
ntf-00449,real,703,154,191
ntf-00450,real,700,149,176
ntf-00451,real,530,112,163
ntf-00452,real,971,197,274
ntf-00453,real,1100,223,291
ntf-00454,real,552,121,134
ntf-00455,real,1245,258,316
ntf-00456,real,1266,280,347
ntf-00457,real,1071,226,276
ntf-00458,real,722,160,193
ntf-00459,real,955,189,278
ntf-00460,real,335,73,87
ntf-00461,real,1183,259,346
ntf-00462,real,938,190,295
ntf-00463,real,1308,278,343
ntf-00464,real,691,138,180
ntf-00465,real,1297,273,323
ntf-00466,real,805,168,202
ntf-00467,real,1054,213,312
ntf-00468,real,994,197,257
ntf-00469,real,962,201,279
ntf-00470,real,796,171,199
ntf-00471,real,367,73,112
ntf-00472,real,792,182,231
ntf-00473,real,573,128,159
ntf-00474,real,657,147,184
ntf-00475,real,2276,447,623
ntf-00476,real,633,128,169
ntf-00477,real,744,124,207
ntf-00478,real,407,87,97
ntf-00479,real,996,210,256
ntf-00480,real,591,131,155
ntf-00481,real,574,129,159
ntf-00482,real,478,101,129
ntf-00483,real,777,164,186
ntf-00484,real,788,150,210
ntf-00485,real,552,115,125
ntf-00486,real,916,195,221
ntf-00487,real,812,176,216
ntf-00488,real,951,182,243
ntf-00489,real,645,133,168
ntf-00490,real,451,94,111
ntf-00491,real,1172,237,301
ntf-00492,real,512,103,133
ntf-00493,real,1976,429,500
ntf-00494,real,1318,270,330
ntf-00495,real,657,144,185
ntf-00496,real,674,148,185
ntf-00497,real,780,162,224
ntf-00498,real,1013,214,279
ntf-00499,real,312,73,89
ntf-00500,real,372,75,108
ntf-00501,real,1055,226,262
ntf-00502,real,909,185,217
ntf-00503,real,747,151,208
ntf-00504,real,1173,246,311
ntf-00505,real,1060,221,282
ntf-00506,real,714,157,190
ntf-00507,real,1083,232,297
ntf-00508,real,1472,319,413
ntf-00509,real,1005,215,269
ntf-00510,real,530,125,153
ntf-00511,real,832,158,227
ntf-00512,real,852,177,226
ntf-00513,real,903,199,232
ntf-00514,real,1803,361,454
ntf-00515,real,1040,224,274
ntf-00516,real,3535,713,920
ntf-00517,real,606,130,171
ntf-00518,real,1232,249,342
ntf-00519,real,621,135,161
ntf-00520,real,1125,246,305
ntf-00521,real,795,166,205
ntf-00522,real,711,155,175
ntf-00523,real,973,212,255
ntf-00524,real,887,194,237
ntf-00525,real,510,102,159
ntf-00526,real,715,148,203
ntf-00527,real,521,122,142
ntf-00528,real,4084,901,1105
ntf-00529,real,1071,235,285
ntf-00530,real,400,81,108
ntf-00531,real,700,143,185
ntf-00532,real,1078,237,302
ntf-00533,real,563,121,158
ntf-00534,real,646,140,191
ntf-00535,real,752,161,201
ntf-00536,real,1326,273,346
ntf-00537,real,647,134,197
ntf-00538,real,755,158,220
ntf-00539,real,462,100,135
ntf-00540,real,1534,315,407
ntf-00541,real,1177,252,333
ntf-00542,real,437,97,116
ntf-00543,real,555,123,138
ntf-00544,real,599,130,163
ntf-00545,real,756,164,212
ntf-00546,real,1013,219,254
ntf-00547,real,638,133,164
ntf-00548,real,429,86,116
ntf-00549,real,1116,235,279
ntf-00550,real,1463,305,396
ntf-00551,real,976,173,252
ntf-00552,real,722,155,192
ntf-00553,real,1044,223,259
ntf-00554,real,525,114,150
ntf-00555,real,486,104,122
ntf-00556,real,552,117,153
ntf-00557,real,670,145,188
ntf-00558,real,642,135,160
ntf-00559,real,348,75,107
ntf-00560,real,469,99,134
ntf-00561,real,780,158,217
ntf-00562,real,306,60,93
ntf-00563,real,905,195,255
ntf-00564,real,696,160,193
ntf-00565,real,965,209,240
ntf-00566,real,449,95,121
ntf-00567,real,389,82,100
ntf-00568,real,479,100,150
ntf-00569,real,624,130,170
ntf-00570,real,606,133,156
ntf-00571,real,852,180,220
ntf-00572,real,508,105,134
ntf-00573,real,546,119,148
ntf-00574,real,302,69,91
ntf-00575,real,1108,225,291
ntf-00576,real,865,186,231
ntf-00577,real,1548,331,403
ntf-00578,real,810,172,216
ntf-00579,real,419,86,116
ntf-00580,real,521,109,134
ntf-00581,real,358,80,96
ntf-00582,real,712,156,200
ntf-00583,real,398,81,93
ntf-00584,real,1234,252,343
ntf-00585,real,508,105,171
ntf-00586,real,349,72,92
ntf-00587,real,649,131,166
ntf-00588,real,459,102,140
ntf-00589,real,463,98,117
ntf-00590,real,1318,276,350
ntf-00591,real,946,198,247
ntf-00592,real,473,107,128
ntf-00593,real,221,46,68
ntf-00594,real,418,88,122
ntf-00595,real,904,194,233
ntf-00596,real,817,162,240
ntf-00597,real,541,114,143
ntf-00598,real,521,107,139
ntf-00599,real,998,225,269
ntf-00600,real,1136,220,304
ntf-00601,real,644,136,176
ntf-00602,real,438,86,113
ntf-00603,real,343,72,89
ntf-00604,real,824,176,216
ntf-00605,real,487,110,120
ntf-00606,real,444,94,120
ntf-00607,real,228,50,67
ntf-00608,real,773,175,209
ntf-00609,real,742,162,201
ntf-00610,real,567,126,156
ntf-00611,real,848,183,202
ntf-00612,real,1040,223,275
ntf-00613,real,972,216,239
ntf-00614,real,922,186,265
ntf-00615,real,1190,240,314
ntf-00616,real,989,215,292
ntf-00617,real,427,90,115
ntf-00618,real,534,114,147
ntf-00619,real,416,80,112
ntf-00620,real,371,74,94
ntf-00621,real,689,142,172
ntf-00622,real,654,141,168
ntf-00623,real,1027,217,255
ntf-00624,real,670,145,185
ntf-00625,real,247,52,72
ntf-00626,real,681,140,175
ntf-00627,real,945,180,265
ntf-00628,real,628,133,153
ntf-00629,real,508,105,142
ntf-00630,real,618,139,173
ntf-00631,real,537,117,143
ntf-00632,real,552,115,138
ntf-00633,real,579,109,162
ntf-00634,real,477,103,131
ntf-00635,real,908,191,223
ntf-00636,real,770,182,224
ntf-00637,real,674,148,187
ntf-00638,real,949,214,249
ntf-00639,real,651,137,174
ntf-00640,real,542,116,137
ntf-00641,real,578,121,158
ntf-00642,real,285,63,83
ntf-00643,real,1076,234,277
ntf-00644,real,1056,224,297
ntf-00645,real,483,105,123
ntf-00646,real,314,67,77
ntf-00647,real,738,151,234
ntf-00648,real,644,135,165
ntf-00649,real,1048,213,298
ntf-00650,real,1031,219,303
ntf-00651,real,461,100,132
ntf-00652,real,732,148,170
ntf-00653,real,903,191,253
ntf-00654,real,640,137,164
ntf-00655,real,366,79,99
ntf-00656,real,698,148,188
ntf-00657,real,461,104,125
ntf-00658,real,435,94,109
ntf-00659,real,618,131,166
ntf-00660,real,553,115,158
ntf-00661,real,347,76,107
ntf-00662,real,658,140,178
ntf-00663,real,620,126,156
ntf-00664,real,503,111,136
ntf-00665,real,726,156,215
ntf-00666,real,651,147,179
ntf-00667,real,976,206,244
ntf-00668,real,1039,206,247
ntf-00669,real,438,92,118
ntf-00670,real,635,135,171
ntf-00671,real,742,155,195
ntf-00672,real,1270,260,305
ntf-00673,real,598,135,168
ntf-00674,real,558,116,150
ntf-00675,real,737,153,199
ntf-00676,real,730,163,196
ntf-00677,real,1096,221,265
ntf-00678,real,369,78,103
ntf-00679,real,415,89,111
ntf-00680,real,1009,216,263
ntf-00681,real,757,160,197
ntf-00682,real,969,192,258
ntf-00683,real,844,187,230
ntf-00684,real,551,124,160
ntf-00685,real,542,110,151
ntf-00686,real,836,175,211
ntf-00687,real,1149,267,323
ntf-00688,real,692,137,196
ntf-00689,real,684,139,167
ntf-00690,real,931,203,243
ntf-00691,real,303,55,88
ntf-00692,real,728,142,199
ntf-00693,real,1135,239,268
ntf-00694,real,1385,292,330
ntf-00695,real,652,137,180
ntf-00696,real,457,95,124
ntf-00697,real,844,177,212
ntf-00698,real,569,126,150
ntf-00699,real,487,88,163
ntf-00700,real,641,134,193
ntf-00701,real,625,132,170
ntf-00702,real,834,180,207
ntf-00703,real,685,147,204
ntf-00704,real,685,149,179
ntf-00705,real,673,134,195
ntf-00706,real,816,165,225
ntf-00707,real,378,80,106
ntf-00708,real,1298,276,344
ntf-00709,real,852,176,277
ntf-00710,real,803,155,227
ntf-00711,real,958,209,241
ntf-00712,real,489,101,124
ntf-00713,real,716,154,205
ntf-00714,real,974,190,275
ntf-00715,real,652,146,178
ntf-00716,real,600,128,158
ntf-00717,real,683,135,176
ntf-00718,real,800,177,205
ntf-00719,real,834,177,216
ntf-00720,real,670,129,206
ntf-00721,real,370,86,106
ntf-00722,real,1061,235,280
ntf-00723,real,919,200,243
ntf-00724,real,1925,409,476
ntf-00725,real,566,125,152
ntf-00726,real,707,147,202
ntf-00727,real,711,134,202
ntf-00728,real,788,152,210
ntf-00729,real,830,181,211
ntf-00730,real,592,125,142
ntf-00731,real,974,213,285
ntf-00732,real,568,136,156
ntf-00733,real,960,203,286
ntf-00734,real,874,184,249
ntf-00735,real,732,149,200
ntf-00736,real,1228,256,349
ntf-00737,real,401,92,115
ntf-00738,real,699,150,196
ntf-00739,real,2015,443,596
ntf-00740,real,547,107,137
ntf-00741,real,369,79,93
ntf-00742,real,592,124,146
ntf-00743,real,1216,263,306
ntf-00744,real,541,120,137
ntf-00745,real,709,142,175
ntf-00746,real,519,110,135
ntf-00747,real,545,115,152
ntf-00748,real,1257,251,358
ntf-00749,real,593,126,146
ntf-00750,real,448,105,121
ntf-00751,real,874,183,245
ntf-00752,real,676,154,181
ntf-00753,real,1068,232,273
ntf-00754,real,1730,373,439
ntf-00755,real,805,166,198
ntf-00756,real,950,200,267
ntf-00757,real,1046,214,287
ntf-00758,real,890,187,252
ntf-00759,real,709,151,189
ntf-00760,real,283,62,79
ntf-00761,real,895,176,257
ntf-00762,real,930,199,261
ntf-00763,real,2431,546,690
ntf-00764,real,1109,239,291
ntf-00765,real,569,127,173
ntf-00766,real,736,159,200
ntf-00767,real,1329,275,349
ntf-00768,real,1167,237,337
ntf-00769,real,729,145,206
ntf-00770,real,922,201,252
ntf-00771,real,582,127,164
ntf-00772,real,1213,263,311
ntf-00773,real,286,61,82
ntf-00774,real,1152,243,293
ntf-00775,real,551,112,141
ntf-00776,real,561,127,145
ntf-00777,real,453,99,119
ntf-00778,real,731,156,192
ntf-00779,real,497,99,126
ntf-00780,real,599,122,157
ntf-00781,real,1001,215,258
ntf-00782,real,839,187,217
ntf-00783,real,261,55,75
ntf-00784,real,825,180,227
ntf-00785,real,333,70,87
ntf-00786,real,715,149,182
ntf-00787,real,294,61,84
ntf-00788,real,1024,210,275
ntf-00789,real,906,192,220
ntf-00790,real,505,106,134
ntf-00791,real,675,142,189
ntf-00792,real,679,149,175
ntf-00793,real,605,128,169
ntf-00794,real,563,126,161
ntf-00795,real,979,206,259
ntf-00796,real,1345,273,378
ntf-00797,real,1558,339,429
ntf-00798,real,543,120,149
ntf-00799,real,1067,215,286
ntf-00800,real,433,95,123
ntf-00801,real,794,172,206
ntf-00802,real,618,131,160
ntf-00803,real,943,199,274
ntf-00804,real,751,166,204
ntf-00805,real,1168,255,303
ntf-00806,real,511,106,139
ntf-00807,real,401,89,104
ntf-00808,real,625,129,170
ntf-00809,real,346,77,89
ntf-00810,real,398,89,104
ntf-00811,real,1227,252,332
ntf-00812,real,805,177,234
ntf-00813,real,707,144,218
ntf-00814,real,291,63,83
ntf-00815,real,1479,326,411
ntf-00816,real,1248,259,348
ntf-00817,real,694,142,195
ntf-00818,real,506,109,137
ntf-00819,real,426,93,110
ntf-00820,real,301,70,78
ntf-00821,real,580,131,155
ntf-00822,real,735,158,199
ntf-00823,real,826,165,242
ntf-00824,real,2220,476,589
ntf-00825,real,1180,245,327
ntf-00826,real,613,134,167
ntf-00827,real,815,163,214
ntf-00828,real,1441,268,369
ntf-00829,real,1889,393,519
ntf-00830,real,767,164,218
ntf-00831,real,586,125,153
ntf-00832,real,639,133,177
ntf-00833,real,343,74,92
ntf-00834,real,2702,568,705
ntf-00835,real,705,145,186
ntf-00836,real,1078,206,311
ntf-00837,real,1034,215,257
ntf-00838,real,1050,225,304
ntf-00839,real,615,135,173
ntf-00840,real,401,82,114
ntf-00841,real,1267,264,333
ntf-00842,real,563,116,162
ntf-00843,real,262,49,70
ntf-00844,real,561,130,172
ntf-00845,real,607,126,167
ntf-00846,real,827,169,236
ntf-00847,real,471,97,145
ntf-00848,real,1268,267,344
ntf-00849,real,317,57,97
ntf-00850,real,208,49,62
ntf-00851,real,1122,247,302
ntf-00852,real,252,55,66
ntf-00853,real,754,167,210
ntf-00854,real,597,127,154
ntf-00855,real,957,197,239
ntf-00856,real,647,139,174
ntf-00857,real,322,70,88
ntf-00858,real,233,48,71
ntf-00859,real,1023,217,267
ntf-00860,real,739,156,192
ntf-00861,real,272,60,78
ntf-00862,real,454,101,120
ntf-00863,real,869,188,234
ntf-00864,real,1717,381,517
ntf-00865,real,1189,248,367
ntf-00866,real,418,92,117
ntf-00867,real,635,132,164
ntf-00868,real,1173,252,338
ntf-00869,real,1151,254,308
ntf-00870,real,1525,322,418
ntf-00871,real,856,188,241
ntf-00872,real,1184,253,332
ntf-00873,real,595,126,173
ntf-00874,real,331,71,86
ntf-00875,real,618,129,157
ntf-00876,real,717,153,179
ntf-00877,real,1013,218,272
ntf-00878,real,693,153,175
ntf-00879,real,620,135,190
ntf-00880,real,1020,221,284
ntf-00881,real,1040,218,283
ntf-00882,real,1112,232,279
ntf-00883,real,573,118,135
ntf-00884,real,781,163,208
ntf-00885,real,2207,460,569
ntf-00886,real,1112,233,288
ntf-00887,real,880,192,249
ntf-00888,real,815,173,222
ntf-00889,real,623,134,163
ntf-00890,real,924,190,241
ntf-00891,real,716,152,188
ntf-00892,real,1326,279,350
ntf-00893,real,839,183,219
ntf-00894,real,1592,327,397
ntf-00895,real,662,137,178
ntf-00896,real,516,108,137
ntf-00897,real,293,55,82
ntf-00898,real,267,50,84
ntf-00899,real,2323,502,617
ntf-00900,real,220,51,67
ntf-00901,real,248,53,76
ntf-00902,real,680,147,179
ntf-00903,real,296,65,78
ntf-00904,real,873,200,256
ntf-00905,real,679,155,192
ntf-00906,real,1636,354,437
ntf-00907,real,422,89,125
ntf-00908,real,502,112,136
ntf-00909,real,1038,202,292
ntf-00910,real,228,48,63
ntf-00911,real,960,224,278
ntf-00912,real,812,180,229
ntf-00913,real,961,200,238
