row_id,label,n_chars,n_words,n_subwords
axg-00069,fake,85,18,27
axg-00070,fake,66,14,18
axg-00071,fake,56,12,22
axg-00072,fake,67,13,21
axg-00073,fake,45,10,13
axg-00074,fake,62,12,23
axg-00075,fake,80,18,28
axg-00076,fake,68,16,23
axg-00077,fake,75,16,28
axg-00078,fake,59,12,20
axg-00079,fake,25,4,13
axg-00080,fake,71,14,26
axg-00081,fake,90,19,26
axg-00082,fake,90,21,32
axg-00083,fake,98,20,29
axg-00084,fake,67,13,23
axg-00085,fake,47,12,18
axg-00086,fake,109,21,26
axg-00087,fake,71,17,25
axg-00088,fake,207,45,57
axg-00089,fake,191,42,47
axg-00090,fake,253,53,67
axg-00091,fake,206,44,62
axg-00092,fake,198,41,60
axg-00093,fake,177,37,55
axg-00094,fake,82,16,19
axg-00095,fake,256,55,83
axg-00096,fake,203,43,54
axg-00097,fake,88,22,24
axg-00098,fake,100,20,26
axg-00099,fake,181,37,61
axg-00100,fake,80,16,20
axg-00101,fake,206,45,48
axg-00102,fake,266,58,72
axg-00103,fake,58,11,13
axg-00104,fake,143,29,33
axg-00105,fake,94,20,28
axg-00106,fake,176,40,50
axg-00107,fake,102,22,30
axg-00108,fake,82,17,19
axg-00109,fake,80,16,18
axg-00110,fake,33,7,14
axg-00111,fake,63,13,19
axg-00112,fake,83,18,25
axg-00113,fake,87,19,31
axg-00114,fake,75,14,22
axg-00115,fake,88,18,26
axg-00116,fake,70,15,21
axg-00117,fake,113,26,30
axg-00118,fake,295,60,75
axg-00119,fake,120,26,37
axg-00120,fake,230,54,69
axg-00121,fake,233,50,71
axg-00122,fake,250,54,65
axg-00123,fake,193,39,55
axg-00124,fake,162,33,47
axg-00125,fake,177,43,55
axg-00126,fake,155,33,45
axg-00127,fake,137,30,39
axg-00128,fake,179,39,47
axg-00129,fake,181,45,53
axg-00130,fake,98,21,27
axg-00131,fake,229,50,59
axg-00132,fake,164,38,44
axg-00133,fake,295,66,81
axg-00134,fake,277,59,82
axg-00135,fake,185,38,43
axg-00136,fake,192,42,54
axg-00137,fake,114,29,35
axg-00138,fake,193,43,58
axg-00139,fake,289,66,77
axg-00140,fake,216,46,62
axg-00141,fake,185,44,59
axg-00142,fake,209,44,59
axg-00143,fake,410,93,119
axg-00144,fake,73,16,20
axg-00145,fake,221,44,65
axg-00146,fake,83,17,23
axg-00147,fake,121,26,31
axg-00148,fake,127,27,34
axg-00149,fake,192,42,55
axg-00150,fake,181,36,50
axg-00151,fake,125,31,37
axg-00152,fake,35,6,15
axg-00153,fake,154,32,56
axg-00154,fake,16,4,9
axg-00155,fake,24,5,10
axg-00156,fake,43,10,14
axg-00157,fake,96,19,28
axg-00158,fake,97,21,26
axg-00159,fake,71,17,26
axg-00160,fake,159,36,44
axg-00161,fake,218,47,60
axg-00162,fake,167,38,43
axg-00163,fake,45,9,18
axg-00164,fake,87,20,25
axg-00165,fake,40,8,12
axg-00166,fake,95,18,26
axg-00167,fake,40,9,15
axg-00168,fake,74,16,22
axg-00169,fake,55,12,14
axg-00170,fake,61,13,16
axg-00171,fake,59,11,20
axg-00172,fake,90,19,23
axg-00173,fake,58,13,17
axg-00174,fake,58,12,16
axg-00175,fake,59,12,20
axg-00176,fake,80,17,24
axg-00177,fake,50,10,18
axg-00178,fake,55,12,14
axg-00179,fake,48,9,14
axg-00180,fake,42,9,13
axg-00181,fake,52,11,15
axg-00182,fake,67,13,18
axg-00183,fake,69,13,23
axg-00184,fake,44,9,13
axg-00185,fake,68,13,18
axg-00186,fake,53,11,20
axg-00187,fake,39,8,13
axg-00188,fake,70,13,19
axg-00189,fake,137,27,41
axg-00190,fake,50,9,15
axg-00191,fake,63,14,19
axg-00192,fake,56,10,15
axg-00193,fake,66,12,18
axg-00194,fake,30,6,10
axg-00195,fake,58,9,16
axg-00196,fake,65,14,21
axg-00197,fake,51,10,15
axg-00198,fake,88,16,26
axg-00199,fake,123,28,33
axg-00200,fake,80,15,20
axg-00201,fake,137,28,38
axg-00202,fake,60,13,17
axg-00203,fake,62,12,19
axg-00204,fake,118,26,39
axg-00205,fake,131,31,44
axg-00206,fake,187,40,52
axg-00207,fake,162,36,49
axg-00208,fake,58,11,18
axg-00209,fake,52,9,16
axg-00210,fake,71,14,19
axg-00211,fake,60,13,16
axg-00212,fake,67,14,16
axg-00213,fake,81,18,23
axg-00214,fake,53,11,13
axg-00215,fake,78,17,26
axg-00216,fake,88,18,22
axg-00217,fake,104,20,27
axg-00218,fake,84,18,27
axg-00219,fake,133,29,35
axg-00220,fake,194,44,53
axg-00221,fake,133,29,36
axg-00222,fake,81,17,21
axg-00223,fake,234,53,70
axg-00224,fake,71,15,19
axg-00225,fake,72,14,16
axg-00226,fake,153,32,38
axg-00227,fake,60,12,16
axg-00228,fake,91,18,23
axg-00229,fake,38,9,12
axg-00230,fake,78,15,21
axg-00231,fake,41,8,11
axg-00232,fake,49,10,17
axg-00233,fake,104,22,33
axg-00234,fake,111,23,25
axg-00235,fake,77,16,23
axg-00236,fake,110,25,30
axg-00237,fake,59,11,16
axg-00238,fake,100,20,23
axg-00239,fake,67,16,19
axg-00240,fake,66,14,18
axg-00241,fake,105,20,30
axg-00242,fake,111,23,30
axg-00243,fake,48,10,14
axg-00244,fake,115,25,30
axg-00245,fake,89,16,25
axg-00246,fake,107,22,29
axg-00247,fake,61,15,19
axg-00248,fake,76,15,21
axg-00249,fake,99,19,24
axg-00250,fake,69,16,22
axg-00251,fake,107,23,30
axg-00252,fake,105,24,34
axg-00253,fake,82,16,23
axg-00254,fake,173,35,41
axg-00255,fake,61,11,16
axg-00256,fake,51,10,13
axg-00257,fake,88,19,23
axg-00258,fake,94,20,30
axg-00259,fake,49,10,12
axg-00260,fake,70,14,19
axg-00261,fake,49,9,12
axg-00262,fake,134,26,36
axg-00263,fake,56,9,16
axg-00264,fake,91,18,26
axg-00265,fake,98,19,24
axg-00266,fake,81,15,20
axg-00267,fake,81,17,24
axg-00268,fake,142,32,49
axg-00269,fake,107,20,28
axg-00270,fake,95,20,27
axg-00271,fake,77,16,22
axg-00272,fake,122,27,35
axg-00273,fake,111,25,31
axg-00274,fake,81,18,22
axg-00275,fake,110,21,30
axg-00276,fake,109,24,33
axg-00277,fake,98,22,28
axg-00278,fake,126,25,32
axg-00279,fake,72,15,21
axg-00280,fake,83,17,25
axg-00281,fake,129,26,33
axg-00282,fake,110,22,34
axg-00283,fake,100,19,29
axg-00284,fake,84,17,25
axg-00285,fake,53,10,18
axg-00286,fake,109,22,32
axg-00287,fake,41,8,11
axg-00288,fake,72,14,22
axg-00289,fake,101,21,25
axg-00290,fake,86,16,23
axg-00291,fake,108,24,32
axg-00292,fake,71,14,23
axg-00293,fake,136,29,36
axg-00294,fake,71,14,21
axg-00295,fake,54,11,16
axg-00296,fake,130,27,35
axg-00297,fake,121,24,35
axg-00298,fake,67,13,22
axg-00299,fake,76,15,24
axg-00300,fake,75,16,26
axg-00301,fake,101,22,33
axg-00302,fake,73,16,23
axg-00303,fake,98,19,30
axg-00304,fake,67,14,21
axg-00305,fake,87,18,22
axg-00306,fake,69,12,21
axg-00307,fake,79,17,22
axg-00308,fake,88,19,26
axg-00309,fake,152,29,46
axg-00310,fake,99,20,25
axg-00311,fake,106,22,29
axg-00312,fake,102,22,30
axg-00313,fake,72,15,20
axg-00314,fake,146,31,42
axg-00315,fake,117,25,33
axg-00316,fake,105,23,32
axg-00317,fake,200,43,51
axg-00318,fake,132,28,36
axg-00319,fake,102,21,27
axg-00320,fake,89,18,24
axg-00321,fake,82,17,20
axg-00322,fake,75,17,27
axg-00323,fake,39,7,14
axg-00324,fake,71,14,21
axg-00325,fake,75,19,23
axg-00326,fake,92,22,31
axg-00327,fake,75,17,22
axg-00328,fake,108,26,30
axg-00329,fake,63,14,21
axg-00330,fake,114,22,33
axg-00331,fake,117,26,31
axg-00332,fake,116,26,34
axg-00333,fake,53,11,20
axg-00334,fake,85,21,28
axg-00335,fake,66,13,23
axg-00336,fake,39,7,15
axg-00337,fake,73,16,20
axg-00338,fake,78,15,19
axg-00339,fake,101,19,26
axg-00340,fake,64,14,19
axg-00341,fake,83,18,25
axg-00342,fake,49,9,16
axg-00343,fake,84,18,23
axg-00344,fake,43,8,15
axg-00345,fake,45,9,13
axg-00346,fake,117,27,32
axg-00347,fake,58,12,16
axg-00348,fake,54,13,17
axg-00349,fake,118,23,29
axg-00350,fake,71,16,21
axg-00351,fake,65,13,20
axg-00352,fake,49,9,18
axg-00353,fake,50,10,18
axg-00354,fake,87,18,24
axg-00355,fake,135,28,37
axg-00356,fake,92,18,25
axg-00357,fake,95,20,28
axg-00358,fake,62,12,16
axg-00359,fake,76,14,19
axg-00360,fake,242,52,63
axg-00361,fake,155,30,37
axg-00362,fake,59,11,15
axg-00363,fake,70,14,20
axg-00364,fake,34,7,12
axg-00365,fake,96,21,26
axg-00366,fake,113,25,34
axg-00367,fake,100,23,33
axg-00368,fake,194,39,58
axg-00369,fake,87,18,23
axg-00370,fake,116,24,36
axg-00371,fake,73,14,18
axg-00372,fake,96,18,29
axg-00373,fake,30,8,12
axg-00374,fake,71,15,18
axg-00375,fake,57,11,17
axg-00376,fake,81,19,26
axg-00377,fake,99,22,27
axg-00378,fake,87,19,25
axg-00379,fake,106,23,32
axg-00380,fake,75,15,22
axg-00381,fake,49,10,13
axg-00382,fake,140,29,37
axg-00383,fake,116,24,32
axg-00384,fake,54,10,19
axg-00385,fake,84,17,22
axg-00386,fake,86,19,25
axg-00387,fake,77,16,20
axg-00388,fake,112,25,32
axg-00389,fake,78,17,26
axg-00390,fake,72,14,19
axg-00391,fake,64,13,20
axg-00392,fake,43,10,13
axg-00393,fake,81,17,21
axg-00394,fake,48,9,16
axg-00395,fake,125,25,31
axg-00396,fake,73,14,22
axg-00397,fake,38,7,14
axg-00398,fake,71,13,23
axg-00399,fake,72,15,24
axg-00400,fake,70,13,21
axg-00401,fake,68,14,24
axg-00402,fake,103,18,27
axg-00403,fake,67,13,23
axg-00404,fake,120,24,34
axg-00405,fake,81,18,25
axg-00406,fake,82,16,25
axg-00407,fake,627,138,157
axg-00408,fake,122,27,42
axg-00409,fake,326,71,93
axg-00410,fake,146,29,37
axg-00411,fake,67,14,23
axg-00412,fake,395,91,109
axg-00413,fake,187,36,56
axg-00414,fake,68,13,18
axg-00415,fake,110,24,32
axg-00416,fake,75,16,20
axg-00417,fake,55,13,18
axg-00418,fake,75,13,24
axg-00419,fake,45,12,15
axg-00420,fake,90,17,31
axg-00421,fake,81,16,25
axg-00422,fake,79,15,22
axg-00423,fake,53,10,18
axg-00424,fake,91,19,24
axg-00425,fake,75,16,24
axg-00426,fake,142,31,37
axg-00427,fake,49,9,15
axg-00428,fake,43,9,11
axg-00429,fake,80,17,24
axg-00430,fake,39,9,13
axg-00431,fake,57,12,16
axg-00432,fake,82,17,23
axg-00433,fake,57,12,17
axg-00434,fake,113,27,34
axg-00435,fake,63,12,17
axg-00436,fake,62,13,16
axg-00437,fake,313,66,77
axg-00438,fake,75,15,18
axg-00439,fake,108,20,27
axg-00440,fake,200,43,63
axg-00441,fake,68,14,21
axg-00442,fake,89,20,25
axg-00443,fake,62,14,18
axg-00444,fake,81,18,27
axg-00445,fake,92,20,23
axg-00446,fake,57,12,18
axg-00447,fake,242,52,66
axg-00448,fake,38,8,13
axg-00449,fake,43,8,13
axg-00450,fake,64,12,18
axg-00451,fake,120,26,33
axg-00452,fake,198,47,52
axg-00453,fake,109,22,36
axg-00454,fake,56,11,16
axg-00455,fake,74,16,24
axg-00456,fake,13,3,8
axg-00457,fake,56,12,18
axg-00458,fake,113,26,35
axg-00459,fake,87,18,24
axg-00460,fake,83,20,26
axg-00461,fake,53,11,15
axg-00462,fake,76,18,23
axg-00463,fake,100,22,26
axg-00464,fake,137,32,40
axg-00465,fake,91,20,30
axg-00466,fake,44,10,16
axg-00467,fake,102,23,33
axg-00468,fake,128,28,38
axg-00469,fake,72,13,17
axg-00470,fake,112,21,30
axg-00471,fake,77,16,23
axg-00472,fake,71,15,19
axg-00473,fake,71,15,18
axg-00474,fake,91,17,26
axg-00475,fake,127,26,41
axg-00476,fake,90,18,26
axg-00477,fake,82,15,25
axg-00478,fake,88,17,23
axg-00479,fake,95,21,27
axg-00480,fake,87,18,25
axg-00481,fake,93,19,30
axg-00482,fake,88,17,21
axg-00483,fake,102,20,27
axg-00484,fake,73,16,24
axg-00485,fake,87,17,23
axg-00486,fake,67,13,19
axg-00487,fake,79,17,21
axg-00488,fake,49,11,15
axg-00489,fake,73,13,19
axg-00490,fake,59,11,19
axg-00491,fake,130,27,32
axg-00492,fake,51,10,12
axg-00493,fake,79,15,17
axg-00494,fake,88,20,30
axg-00495,fake,68,15,22
axg-00496,fake,96,19,28
axg-00497,fake,87,18,25
axg-00498,fake,94,21,24
axg-00499,fake,103,20,27
axg-00500,fake,82,15,23
axg-00501,fake,82,16,20
axg-00502,fake,82,19,27
axg-00503,fake,57,11,16
axg-00504,fake,73,15,18
axg-00505,fake,74,16,23
axg-00506,fake,98,19,27
axg-00507,fake,92,18,21
axg-00508,fake,75,14,22
axg-00509,fake,126,25,38
axg-00510,fake,75,14,25
axg-00511,fake,75,17,22
axg-00512,fake,104,23,27
axg-00513,fake,80,18,25
axg-00514,fake,33,7,11
axg-00515,fake,102,20,29
axg-00516,fake,50,10,14
axg-00517,fake,111,25,33
axg-00518,fake,55,11,19
axg-00519,fake,54,12,16
axg-00520,fake,90,20,24
axg-00521,fake,61,13,19
axg-00522,fake,151,32,38
axg-00523,fake,135,27,30
axg-00524,fake,73,16,20
axg-00525,fake,69,16,20
axg-00526,fake,99,23,33
axg-00527,fake,86,18,27
axg-00528,fake,58,12,18
axg-00529,fake,136,25,40
axg-00530,fake,90,19,28
axg-00531,fake,87,19,22
axg-00532,fake,100,22,27
axg-00533,fake,91,17,28
axg-00534,fake,44,11,16
axg-00535,fake,160,35,42
axg-00536,fake,42,8,10
axg-00537,fake,46,10,14
axg-00538,fake,98,21,24
axg-00539,fake,111,23,28
axg-00540,fake,86,18,26
axg-00541,fake,93,19,21
axg-00542,fake,96,21,32
axg-00543,fake,70,17,21
axg-00544,fake,63,14,20
axg-00545,fake,60,12,15
axg-00546,fake,87,17,24
axg-00547,fake,71,14,20
axg-00548,fake,56,11,17
axg-00549,fake,69,13,19
axg-00550,fake,59,12,15
axg-00551,fake,65,14,17
axg-00552,fake,118,27,35
axg-00553,fake,88,18,21
axg-00554,fake,78,15,17
axg-00555,fake,68,14,20
axg-00556,fake,63,11,15
axg-00557,fake,115,26,31
axg-00558,fake,113,21,30
axg-00559,fake,75,16,20
axg-00560,fake,77,17,20
axg-00561,fake,37,9,12
axg-00562,fake,62,13,18
axg-00563,fake,36,8,11
axg-00564,fake,106,21,33
axg-00565,fake,67,13,15
axg-00566,fake,104,22,24
axg-00567,fake,40,9,16
axg-00568,fake,78,16,22
axg-00569,fake,115,22,30
axg-00570,fake,88,20,26
axg-00571,fake,61,10,17
axg-00572,fake,59,12,19
axg-00573,fake,161,35,45
axg-00574,fake,72,17,20
axg-00575,fake,162,35,42
axg-00576,fake,138,31,41
axg-00577,fake,152,34,45
axg-00578,fake,99,19,31
axg-00579,fake,107,23,34
axg-00580,fake,111,25,35
axg-00581,fake,122,25,31
axg-00582,fake,90,19,28
axg-00583,fake,65,13,17
axg-00584,fake,110,24,32
axg-00585,fake,108,23,28
axg-00586,fake,90,19,24
axg-00587,fake,58,14,17
axg-00588,fake,102,23,29
axg-00589,fake,83,17,21
axg-00590,fake,522,118,129
axg-00591,fake,356,78,96
axg-00592,fake,84,16,20
axg-00593,fake,82,16,23
axg-00594,fake,110,22,26
axg-00595,fake,59,14,19
axg-00596,fake,186,36,55
axg-00597,fake,77,17,22
axg-00598,fake,88,19,25
axg-00599,fake,180,40,51
axg-00600,fake,69,15,22
axg-00601,fake,59,12,15
axg-00602,fake,85,19,27
axg-00603,fake,77,15,23
axg-00604,fake,73,17,23
axg-00605,fake,33,7,11
axg-00606,fake,84,17,22
axg-00607,fake,67,15,21
axg-00608,fake,43,10,13
axg-00609,fake,46,10,13
axg-00610,fake,152,33,40
axg-00611,fake,41,9,14
axg-00612,fake,81,18,25
axg-00613,fake,65,13,20
axg-00614,fake,76,16,21
axg-00615,fake,65,13,15
axg-00616,fake,217,48,58
axg-00617,fake,53,11,16
axg-00618,fake,62,12,21
axg-00619,fake,115,27,31
axg-00620,fake,225,50,59
axg-00621,fake,50,9,19
axg-00622,fake,66,13,19
axg-00623,fake,59,13,16
axg-00624,fake,73,14,21
axg-00625,fake,84,16,22
axg-00626,fake,64,14,17
axg-00627,fake,132,27,39
axg-00628,fake,82,15,21
axg-00629,fake,112,24,31
axg-00630,fake,53,10,17
axg-00631,fake,47,9,13
axg-00632,fake,54,11,16
axg-00633,fake,120,26,33
axg-00634,fake,126,26,35
axg-00635,fake,68,14,18
axg-00636,fake,81,17,20
axg-00637,fake,49,12,16
axg-00638,fake,90,21,25
axg-00639,fake,82,17,22
axg-00640,fake,73,16,23
axg-00641,fake,62,14,19
axg-00642,fake,79,16,25
axg-00643,fake,105,21,27
axg-00644,fake,86,18,24
axg-00645,fake,109,24,33
axg-00646,fake,106,24,32
axg-00647,fake,78,16,23
axg-00648,fake,502,108,154
axg-00649,fake,463,102,120
axg-00650,fake,777,155,203
axg-00651,fake,1813,384,436
axg-00652,fake,493,107,141
axg-00653,fake,674,138,196
axg-00654,fake,1597,363,428
axg-00655,fake,988,203,266
axg-00656,fake,1830,408,500
axg-00657,fake,639,136,197
axg-00658,fake,569,128,152
axg-00659,fake,798,177,229
axg-00660,fake,1542,326,426
axg-00661,fake,377,86,106
axg-00662,fake,720,163,219
axg-00663,fake,821,168,225
axg-00664,fake,831,175,225
axg-00665,fake,1011,217,277
axg-00666,fake,2055,422,593
axg-00667,fake,64,11,18
axg-00668,fake,86,18,22
axg-00669,fake,44,10,14
axg-00670,fake,47,10,13
axg-00671,fake,35,7,11
axg-00672,fake,49,10,15
axg-00673,fake,53,12,15
axg-00674,fake,32,7,10
axg-00675,fake,49,11,15
axg-00676,fake,63,13,18
axg-00677,fake,71,17,21
axg-00678,fake,121,26,31
axg-00679,fake,56,12,19
axg-00680,fake,62,12,19
axg-00681,fake,66,15,19
axg-00682,fake,46,10,15
axg-00683,fake,121,26,31
axg-00684,fake,71,17,21
axg-00685,fake,63,13,18
axg-00686,fake,49,11,15
axg-00687,fake,44,10,14
axg-00688,fake,36,8,14
axg-00689,fake,79,19,22
axg-00690,fake,124,26,34
axg-00691,fake,39,9,12
axg-00692,fake,143,33,39
axg-00693,fake,57,13,19
axg-00694,fake,115,27,30
axg-00695,fake,63,14,18
axg-00696,fake,49,12,14
axg-00697,fake,49,10,14
axg-00698,fake,44,10,12
axg-00699,fake,58,13,19
axg-00700,fake,73,15,17
axg-00701,fake,57,11,19
axg-00702,fake,83,19,25
axg-00703,fake,101,22,26
axg-00704,fake,74,15,24
axg-00705,fake,96,19,23
axg-00706,fake,84,20,24
axg-00707,fake,59,13,15
axg-00708,fake,120,25,33
axg-00709,fake,65,15,20
axg-00710,fake,158,33,44
axg-00711,fake,91,23,27
axg-00712,fake,110,24,33
axg-00713,fake,116,25,33
axg-00714,fake,60,15,20
axg-00715,fake,83,19,21
axg-00716,fake,74,16,20
axg-00717,fake,162,36,40
axg-00718,fake,171,38,50
axg-00719,fake,112,24,30
axg-00720,fake,185,40,46
axg-00721,fake,132,28,33
axg-00722,fake,148,29,42
axg-00723,fake,82,17,23
axg-00724,fake,119,27,34
axg-00725,fake,73,14,20
axg-00726,fake,120,25,29
axg-00727,fake,83,17,26
axg-00728,fake,62,14,20
axg-00729,fake,51,10,19
axg-00730,fake,88,20,27
axg-00731,fake,123,25,35
axg-00732,fake,108,24,33
axg-00733,fake,107,23,27
axg-00734,fake,114,24,35
axg-00735,fake,131,30,35
axg-00736,fake,61,14,22
axg-00737,fake,120,30,38
axg-00738,fake,137,29,35
axg-00739,fake,81,20,22
axg-00740,fake,92,20,29
axg-00741,fake,125,29,36
axg-00742,fake,101,22,30
axg-00743,fake,100,23,26
axg-00744,fake,109,26,33
axg-00745,fake,105,25,29
axg-00746,fake,82,21,25
axg-00747,fake,91,20,29
axg-00748,fake,136,31,37
axg-00749,fake,96,20,24
axg-00750,fake,99,22,33
axg-00751,fake,107,26,30
axg-00752,fake,86,20,25
axg-00753,fake,150,33,41
axg-00754,fake,69,17,19
axg-00755,fake,62,14,18
axg-00756,fake,90,19,27
axg-00757,fake,78,16,24
axg-00758,fake,82,18,25
axg-00759,fake,104,26,32
axg-00760,fake,130,27,35
axg-00761,fake,109,27,29
axg-00762,fake,154,36,44
axg-00763,fake,121,26,41
axg-00764,fake,75,15,21
axg-00765,fake,360,77,105
axg-00766,fake,166,38,51
axg-00767,fake,109,22,28
axg-00768,fake,56,12,17
axg-00769,fake,70,15,25
axg-00770,fake,76,16,20
axg-00771,fake,97,21,26
axg-00772,fake,110,22,34
axg-00773,fake,87,17,23
axg-00774,fake,151,32,39
axg-00775,fake,148,34,42
axg-00776,fake,204,44,60
axg-00777,fake,139,32,35
axg-00778,fake,50,12,16
axg-00779,fake,45,10,15
axg-00780,fake,69,15,20
axg-00781,fake,45,8,15
axg-00782,fake,49,11,16
axg-00783,fake,120,26,32
axg-00784,fake,84,18,24
axg-00785,fake,74,18,24
axg-00786,fake,152,31,44
axg-00787,fake,176,35,62
axg-00788,fake,133,27,43
axg-00789,fake,74,17,21
axg-00790,fake,57,12,18
axg-00791,fake,97,20,28
axg-00792,fake,57,13,20
axg-00793,fake,54,11,20
axg-00794,fake,73,14,20
axg-00795,fake,84,18,22
axg-00796,fake,46,9,13
axg-00797,fake,79,19,28
axg-00798,fake,82,19,21
axg-00799,fake,66,15,21
axg-00800,fake,43,10,12
axg-00801,fake,70,15,17
axg-00802,fake,48,11,16
axg-00803,fake,250,57,62
axg-00804,fake,144,33,41
axg-00805,fake,115,26,32
axg-00806,fake,141,32,36
axg-00807,fake,143,34,40
axg-00808,fake,183,42,57
axg-00809,fake,91,20,26
axg-00810,fake,195,39,46
axg-00811,fake,163,38,43
axg-00812,fake,82,17,21
axg-00813,fake,161,33,38
axg-00814,fake,121,30,34
axg-00815,fake,64,13,16
axg-00816,fake,140,31,40
axg-00817,fake,106,25,28
axg-00818,fake,67,14,21
axg-00819,fake,91,20,24
axg-00820,fake,101,21,27
axg-00821,fake,68,13,21
axg-00822,fake,80,16,26
axg-00823,fake,67,15,19
axg-00824,fake,93,17,26
axg-00825,fake,105,23,27
axg-00826,fake,77,16,20
axg-00827,fake,132,26,31
axg-00828,fake,104,21,26
axg-00829,fake,151,33,41
axg-00830,fake,119,27,30
axg-00831,fake,101,19,25
axg-00832,fake,96,24,30
axg-00833,fake,113,25,32
axg-00834,fake,125,27,31
axg-00835,fake,138,30,40
axg-00836,fake,98,22,27
axg-00837,fake,134,27,31
axg-00838,fake,94,21,27
axg-00839,fake,115,27,36
axg-00840,fake,96,20,29
axg-00841,fake,107,23,27
axg-00842,fake,122,27,33
axg-00843,fake,78,15,21
axg-00844,fake,115,23,26
axg-00845,fake,125,25,34
axg-00846,fake,92,18,24
axg-00847,fake,91,19,24
axg-00848,fake,88,20,24
axg-00849,fake,124,26,33
axg-00850,fake,109,22,26
axg-00851,fake,89,21,26
axg-00852,fake,87,19,24
axg-00853,fake,91,20,27
axg-00854,fake,138,30,41
axg-00855,fake,122,28,33
axg-00856,fake,142,31,36
axg-00857,fake,101,20,28
axg-00858,fake,101,22,26
axg-00859,fake,119,26,30
axg-00860,fake,102,22,26
axg-00861,fake,137,33,39
axg-00862,fake,75,18,22
axg-00863,fake,88,18,21
axg-00864,fake,81,17,24
axg-00865,fake,70,16,22
axg-00866,fake,62,13,20
axg-00867,fake,121,29,32
axg-00868,fake,75,17,19
axg-00869,fake,75,18,25
axg-00870,fake,83,18,26
axg-00871,fake,78,17,22
axg-00872,fake,62,14,16
axg-00873,fake,81,17,20
axg-00874,fake,130,26,38
axg-00875,fake,87,19,26
axg-00876,fake,102,20,25
axg-00877,fake,109,25,32
axg-00878,fake,163,38,51
axg-00879,fake,157,35,45
axg-00880,fake,117,24,31
axg-00881,fake,100,22,30
axg-00882,fake,127,29,40
axg-00883,fake,72,17,25
axg-00884,fake,115,22,33
axg-00885,fake,196,43,56
axg-00886,fake,123,28,35
axg-00887,fake,90,20,31
axg-00888,fake,51,11,15
axg-00889,fake,90,21,25
axg-00890,fake,91,19,22
axg-00891,fake,70,15,19
axg-00892,fake,131,25,31
axg-00893,fake,65,14,18
axg-00894,fake,61,13,19
axg-00895,fake,61,14,17
axg-00896,fake,109,25,31
axg-00897,fake,142,31,33
axg-00898,fake,65,16,19
axg-00899,fake,117,28,33
axg-00900,fake,49,10,14
axg-00901,fake,55,12,18
axg-00902,fake,77,18,22
axg-00903,fake,47,11,13
axg-00904,fake,66,15,22
axg-00905,fake,93,19,23
axg-00906,fake,137,28,40
axg-00907,fake,62,13,18
axg-00908,fake,80,17,24
axg-00909,fake,97,22,29
axg-00910,fake,85,18,24
axg-00911,fake,97,21,28
axg-00912,fake,72,14,28
axg-00913,fake,76,16,21
axg-00914,fake,105,22,25
axg-00915,fake,86,17,28
axg-00916,fake,76,15,20
axg-00917,fake,112,26,29
axg-00918,fake,92,19,30
axg-00919,fake,102,22,26
axg-00920,fake,74,15,22
axg-00921,fake,136,30,40
axg-00922,fake,134,32,38
axg-00923,fake,76,19,23
axg-00924,fake,101,21,30
axg-00925,fake,185,39,53
axg-00926,fake,295,67,85
axg-00927,fake,132,32,36
axg-00928,fake,245,50,66
axg-00929,fake,889,203,235
